accuracy,dataset,comparison_thr,model,thr,tipo,accuracy_value,TP,FP,FN,TN,0.precision,0.recall,0.f1-score,0.support,1.precision,1.recall,1.f1-score,1.support,macro avg.precision,macro avg.recall,macro avg.f1-score,macro avg.support,weighted avg.precision,weighted avg.recall,weighted avg.f1-score,weighted avg.support
0.54,user_fake_authentic_2class_50000_threshold_4_EXTENDED_0.5_with_chi.csv,fake,SVC,0.3,1,0.54,499,459,1,41,0.5208768267223383,0.998,0.6844993141289437,500.0,0.9761904761904762,0.082,0.15129151291512916,500.0,0.7485336514564072,0.54,0.4178954135220364,1000.0,0.7485336514564072,0.54,0.41789541352203646,1000.0
0.75,user_fake_authentic_2class_50000_threshold_4_EXTENDED_0.5_with_chi.csv,fake,KNN,0.3,1,0.75,384,134,116,366,0.7413127413127413,0.768,0.7544204322200393,500.0,0.7593360995850622,0.732,0.745417515274949,500.0,0.7503244204489017,0.75,0.7499189737474942,1000.0,0.7503244204489017,0.75,0.7499189737474942,1000.0
0.793,user_fake_authentic_2class_50000_threshold_4_EXTENDED_0.5_with_chi.csv,fake,RF,0.4,1,0.793,422,129,78,371,0.7658802177858439,0.844,0.8030447193149381,500.0,0.8262806236080178,0.742,0.7818756585879874,500.0,0.7960804206969309,0.7929999999999999,0.7924601889514628,1000.0,0.7960804206969307,0.793,0.7924601889514626,1000.0
0.75,user_fake_authentic_2class_50000_threshold_4_EXTENDED_0.5_with_chi.csv,fake,DT,0.4,1,0.75,428,178,72,322,0.7062706270627063,0.856,0.7739602169981917,500.0,0.817258883248731,0.644,0.7203579418344519,500.0,0.7617647551557186,0.75,0.7471590794163219,1000.0,0.7617647551557186,0.75,0.7471590794163219,1000.0
0.54,user_fake_authentic_2class_50000_threshold_4_EXTENDED_0.5_with_chi.csv,fake,SVC,0.4,1,0.54,499,459,1,41,0.5208768267223383,0.998,0.6844993141289437,500.0,0.9761904761904762,0.082,0.15129151291512916,500.0,0.7485336514564072,0.54,0.4178954135220364,1000.0,0.7485336514564072,0.54,0.41789541352203646,1000.0
0.75,user_fake_authentic_2class_50000_threshold_4_EXTENDED_0.5_with_chi.csv,fake,KNN,0.4,1,0.75,384,134,116,366,0.7413127413127413,0.768,0.7544204322200393,500.0,0.7593360995850622,0.732,0.745417515274949,500.0,0.7503244204489017,0.75,0.7499189737474942,1000.0,0.7503244204489017,0.75,0.7499189737474942,1000.0
0.8,user_fake_authentic_2class_50000_threshold_4_EXTENDED_0.5_with_chi.csv,fake,RF,0.5,1,0.8,428,128,72,372,0.7697841726618705,0.856,0.8106060606060606,500.0,0.8378378378378378,0.744,0.788135593220339,500.0,0.8038110052498542,0.8,0.7993708269131998,1000.0,0.8038110052498542,0.8,0.7993708269131998,1000.0
0.75,user_fake_authentic_2class_50000_threshold_4_EXTENDED_0.5_with_chi.csv,fake,DT,0.5,1,0.75,428,178,72,322,0.7062706270627063,0.856,0.7739602169981917,500.0,0.817258883248731,0.644,0.7203579418344519,500.0,0.7617647551557186,0.75,0.7471590794163219,1000.0,0.7617647551557186,0.75,0.7471590794163219,1000.0
0.54,user_fake_authentic_2class_50000_threshold_4_EXTENDED_0.5_with_chi.csv,fake,SVC,0.5,1,0.54,499,459,1,41,0.5208768267223383,0.998,0.6844993141289437,500.0,0.9761904761904762,0.082,0.15129151291512916,500.0,0.7485336514564072,0.54,0.4178954135220364,1000.0,0.7485336514564072,0.54,0.41789541352203646,1000.0
0.75,user_fake_authentic_2class_50000_threshold_4_EXTENDED_0.5_with_chi.csv,fake,KNN,0.5,1,0.75,384,134,116,366,0.7413127413127413,0.768,0.7544204322200393,500.0,0.7593360995850622,0.732,0.745417515274949,500.0,0.7503244204489017,0.75,0.7499189737474942,1000.0,0.7503244204489017,0.75,0.7499189737474942,1000.0
0.781,user_fake_authentic_2class_50000_threshold_4_EXTENDED_0.2_with_chi.csv,fake,RF,0.1,1,0.781,420,139,80,361,0.7513416815742398,0.84,0.7932011331444759,500.0,0.81859410430839,0.722,0.767268862911796,500.0,0.7849678929413149,0.7809999999999999,0.780234998028136,1000.0,0.7849678929413149,0.781,0.780234998028136,1000.0
0.723,user_fake_authentic_2class_50000_threshold_4_EXTENDED_0.2_with_chi.csv,fake,DT,0.1,1,0.723,325,102,175,398,0.7611241217798594,0.65,0.7011866235167206,500.0,0.6945898778359512,0.796,0.7418452935694315,500.0,0.7278569998079053,0.7230000000000001,0.721515958543076,1000.0,0.7278569998079054,0.723,0.721515958543076,1000.0
0.54,user_fake_authentic_2class_50000_threshold_4_EXTENDED_0.2_with_chi.csv,fake,SVC,0.1,1,0.54,499,459,1,41,0.5208768267223383,0.998,0.6844993141289437,500.0,0.9761904761904762,0.082,0.15129151291512916,500.0,0.7485336514564072,0.54,0.4178954135220364,1000.0,0.7485336514564072,0.54,0.41789541352203646,1000.0
0.754,user_fake_authentic_2class_50000_threshold_4_EXTENDED_0.2_with_chi.csv,fake,KNN,0.1,1,0.754,386,132,114,368,0.7451737451737451,0.772,0.7583497053045186,500.0,0.7634854771784232,0.736,0.7494908350305499,500.0,0.7543296111760842,0.754,0.7539202701675343,1000.0,0.7543296111760842,0.754,0.7539202701675343,1000.0
0.781,user_fake_authentic_2class_50000_threshold_4_EXTENDED_0.2_with_chi.csv,fake,RF,0.2,1,0.781,420,139,80,361,0.7513416815742398,0.84,0.7932011331444759,500.0,0.81859410430839,0.722,0.767268862911796,500.0,0.7849678929413149,0.7809999999999999,0.780234998028136,1000.0,0.7849678929413149,0.781,0.780234998028136,1000.0
0.723,user_fake_authentic_2class_50000_threshold_4_EXTENDED_0.2_with_chi.csv,fake,DT,0.2,1,0.723,325,102,175,398,0.7611241217798594,0.65,0.7011866235167206,500.0,0.6945898778359512,0.796,0.7418452935694315,500.0,0.7278569998079053,0.7230000000000001,0.721515958543076,1000.0,0.7278569998079054,0.723,0.721515958543076,1000.0
0.54,user_fake_authentic_2class_50000_threshold_4_EXTENDED_0.2_with_chi.csv,fake,SVC,0.2,1,0.54,499,459,1,41,0.5208768267223383,0.998,0.6844993141289437,500.0,0.9761904761904762,0.082,0.15129151291512916,500.0,0.7485336514564072,0.54,0.4178954135220364,1000.0,0.7485336514564072,0.54,0.41789541352203646,1000.0
0.754,user_fake_authentic_2class_50000_threshold_4_EXTENDED_0.2_with_chi.csv,fake,KNN,0.2,1,0.754,386,132,114,368,0.7451737451737451,0.772,0.7583497053045186,500.0,0.7634854771784232,0.736,0.7494908350305499,500.0,0.7543296111760842,0.754,0.7539202701675343,1000.0,0.7543296111760842,0.754,0.7539202701675343,1000.0
0.781,user_fake_authentic_2class_50000_threshold_4_EXTENDED_0.2_with_chi.csv,fake,RF,0.3,1,0.781,420,139,80,361,0.7513416815742398,0.84,0.7932011331444759,500.0,0.81859410430839,0.722,0.767268862911796,500.0,0.7849678929413149,0.7809999999999999,0.780234998028136,1000.0,0.7849678929413149,0.781,0.780234998028136,1000.0
0.723,user_fake_authentic_2class_50000_threshold_4_EXTENDED_0.2_with_chi.csv,fake,DT,0.3,1,0.723,325,102,175,398,0.7611241217798594,0.65,0.7011866235167206,500.0,0.6945898778359512,0.796,0.7418452935694315,500.0,0.7278569998079053,0.7230000000000001,0.721515958543076,1000.0,0.7278569998079054,0.723,0.721515958543076,1000.0
0.54,user_fake_authentic_2class_50000_threshold_4_EXTENDED_0.2_with_chi.csv,fake,SVC,0.3,1,0.54,499,459,1,41,0.5208768267223383,0.998,0.6844993141289437,500.0,0.9761904761904762,0.082,0.15129151291512916,500.0,0.7485336514564072,0.54,0.4178954135220364,1000.0,0.7485336514564072,0.54,0.41789541352203646,1000.0
0.754,user_fake_authentic_2class_50000_threshold_4_EXTENDED_0.2_with_chi.csv,fake,KNN,0.3,1,0.754,386,132,114,368,0.7451737451737451,0.772,0.7583497053045186,500.0,0.7634854771784232,0.736,0.7494908350305499,500.0,0.7543296111760842,0.754,0.7539202701675343,1000.0,0.7543296111760842,0.754,0.7539202701675343,1000.0
0.781,user_fake_authentic_2class_50000_threshold_4_EXTENDED_0.2_with_chi.csv,fake,RF,0.4,1,0.781,420,139,80,361,0.7513416815742398,0.84,0.7932011331444759,500.0,0.81859410430839,0.722,0.767268862911796,500.0,0.7849678929413149,0.7809999999999999,0.780234998028136,1000.0,0.7849678929413149,0.781,0.780234998028136,1000.0
0.723,user_fake_authentic_2class_50000_threshold_4_EXTENDED_0.2_with_chi.csv,fake,DT,0.4,1,0.723,325,102,175,398,0.7611241217798594,0.65,0.7011866235167206,500.0,0.6945898778359512,0.796,0.7418452935694315,500.0,0.7278569998079053,0.7230000000000001,0.721515958543076,1000.0,0.7278569998079054,0.723,0.721515958543076,1000.0
0.54,user_fake_authentic_2class_50000_threshold_4_EXTENDED_0.2_with_chi.csv,fake,SVC,0.4,1,0.54,499,459,1,41,0.5208768267223383,0.998,0.6844993141289437,500.0,0.9761904761904762,0.082,0.15129151291512916,500.0,0.7485336514564072,0.54,0.4178954135220364,1000.0,0.7485336514564072,0.54,0.41789541352203646,1000.0
